,sno,complaint,complaint_description,complaint_type,recieved_date,incident_date,county,incident_closed_date,incident_status_desc,incident_zip
200,201,201863,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
201,202,201862,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
202,203,201861,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
203,204,201860,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
204,205,201859,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
205,206,201858,concern of loud noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
206,207,201857,Loud boom noise in the Cheverly area,Other,2023-12-11,2023-12-11,Prince George's,2023-12-13,Incident Closed-Managed,
207,208,201856,Gas leak in multiple unit a development,Other,2023-12-08,2023-12-08,Prince George's,2023-12-20,Incident Closed-Managed,
208,209,201855,Smoke form Wood Stove,Smoke,2023-12-06,2023-12-06,Garrett,2024-02-09,Incident Closed - No further action,21520
209,210,201852,Agricultural Open Burning,Open Burning,2023-12-05,2023-12-05,Washington,2023-12-12,Incident Closed - No further action,21756
210,211,201845,Neighbor routinely burns plastic.,"Air, Odor, Open Burning",2023-12-11,2023-12-03,Montgomery,,Referred to Outside Agency,20902
211,212,201843,"Toxic, waste, carnage odor.  Surface mining activity.  Biosolids application in for this area.",Air,2023-12-11,2023-12-08,Charles,,Under Investigation,
212,213,201842,Sewer odor from the Annapolis Water Reclamation facility located on Edgewood RD,Air,2023-12-05,2023-12-05,Anne Arundel,,Referred to WMA,21403
213,214,201841,Waste odor.  Biosolid application in for this area.  Chaney Surface mining land.,Air,2023-12-11,2023-12-07,Charles,,Under Investigation,
214,215,201831,Complainant states smoke from burning tires at the Capitol Raceway facility.,Air,2023-12-07,2023-12-07,Anne Arundel,2023-12-07,Incident Closed - No further action,
215,216,201830,Smoke from burning construction debris at residential yard.  Bringing materials onto property.,Air,2023-12-04,2023-12-04,Frederick,2023-12-11,Incident Closed-Managed,21788
216,217,201829,"Toxic, dead carnage, waste or N gas odors.  Complainant contacted the CCHD first.",Air,2023-12-07,2023-12-06,Charles,,Under Investigation,
217,218,201828,RIA Home Improvements creating dust from grinding a concrete garage floor in a duplex neighborhood.  Dust travelling to neighbors yards.,Air,2023-12-04,2023-12-04,Frederick,2023-12-11,Incident Closed-No Violation Observed,21701
218,219,201827,Dust from sand blasting vehicles,Air,2023-12-04,2023-12-04,Frederick,,Referred to Attorney General's Office,21757
219,220,201825,Neighbors open burning,Open Burning,2023-12-01,2023-12-01,Wicomico,,Under Investigation,21801
220,221,201823,Smoke from neighbor's outdoor boiler.,Smoke,2023-12-04,,Baltimore,2023-12-05,Incident Closed - No further action,
221,222,201822,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-30,2023-11-30,Baltimore City,2023-12-05,Incident Closed-Managed,
222,223,201821,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-25,2023-11-25,Baltimore City,2023-12-05,Incident Closed-Managed,
223,224,201820,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-17,2023-11-17,Baltimore City,2023-12-05,Incident Closed-Managed,
224,225,201819,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-15,2023-11-15,Baltimore City,2023-12-05,Incident Closed-Managed,
225,226,201818,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-04,2023-11-04,Baltimore City,2023-12-05,Incident Closed-Managed,
226,227,201814,Concern of smoke and dust in Bladensburg,Other,2023-12-04,2023-11-29,Prince George's,2023-12-08,Incident Closed-Managed,20781
227,228,201810,Neighbor has three modified diesel trucks releasing black smoke and particulate. The neighbor has also spilled oil on the road.,"Air, Fugitive Dust/Particulate Matter, Smoke",2023-12-01,2023-12-01,Montgomery,,Referred to Outside Agency,20902
228,229,201809,Odor from Annapolis Water Reclamation facility on Edgewood RD,Air,2023-12-01,2023-11-28,Anne Arundel,2023-12-08,Incident Closed-Managed,21403
229,230,191816,Noxious odors emanating from West Coast Mushrooms.,"Air, Odor",2023-11-30,2023-11-30,Cecil,,Referred to LMA,21911
230,231,191809,Buying new furniture and the AQ of it.,Fumes,2023-11-28,,Baltimore,,Incident Not Applicable to MDE,
231,232,191804,Construction of new Wawa Gas Station caused complainants asthma symptoms to worsen.,Air Pollutant Release,2023-11-28,2023-10-02,Montgomery,,Under Investigation,20877
232,233,191802,Moth ball odor in her apartment.  Complainant inquiring about testing the air inside her apartment.,Air,2023-11-28,2023-11-27,Anne Arundel,2023-11-29,Incident Closed - No further action,21114
233,234,191794,Dust from sand blasting,Air,2023-11-27,2023-11-27,Frederick,,Referred to Attorney General's Office,
234,235,191793,West Coast Mushroom Farm composting creates severe noxious odors.,"Air, Odor",2023-11-22,2023-11-22,Cecil,,Referred to LMA,21911
235,236,191783,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
236,237,191782,concern of loud noise in the Cheverly area,Other,2023-11-22,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
237,238,191781,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
238,239,191780,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
239,240,191779,concern of loud noise in the Cheverly area,Other,2023-11-20,2023-11-20,Prince George's,2023-11-22,Incident Closed-Managed,
240,241,191778,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
241,242,191777,concern of loud noise in the Cheverly area,Other,2023-11-20,2023-11-20,Prince George's,2023-11-22,Incident Closed-Managed,
242,243,191776,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
243,244,191775,concern of loud noise in the Cheverly area,Other,2023-11-21,2023-11-21,Prince George's,2023-11-22,Incident Closed-Managed,
244,245,191774,Grass cutting at West View Shores Civic Association is creating nuisance dust.,"Air, Fugitive Dust/Particulate Matter",2023-10-19,2023-10-19,Cecil,2023-11-21,Incident Closed-Managed,21919
245,246,191773,"The complainant States:
""West Coast Mushroom Farm in Rising Sun is creating severe noxious odors.""","Air, Odor",2023-11-16,2023-11-16,Cecil,,Referred to Outside Agency,21911
246,247,191772,Odors from cannabis facility,Odor,2023-11-21,,St. Mary's,,Referred to Outside Agency,
247,248,191769,Bees-Wings from Corn Dryer,Fugitive Dust/Particulate Matter,2023-11-21,2023-11-21,Washington,,Under Investigation,21742
248,249,191766,Dust from sandblasting and overspray from spray painting. Inadequate dust containment.,Air,2023-11-21,2023-11-21,Anne Arundel,,Referred to Attorney General's Office,
249,250,191760,Spice odors are being emitted from McCormicks.,Odor,2023-11-17,,Baltimore,2023-11-20,Incident Closed-Managed,
250,251,191759,concern of loud noise in the Cheverly area,Other,2023-11-17,2023-11-17,Prince George's,2023-11-20,Incident Closed-Managed,
251,252,191758,concern of loud noise in the Cheverly area,Other,2023-11-18,2023-11-18,Prince George's,2023-11-20,Incident Closed-Managed,
252,253,191757,concern of loud noise in the Cheverly area,Other,2023-11-19,2023-11-19,Prince George's,2023-11-20,Incident Closed-Managed,
253,254,191756,concern of loud noise in the Cheverly area,Other,2023-11-19,2023-11-19,Prince George's,2023-11-20,Incident Closed-Managed,
254,255,191754,concern of loud noise in the Cheverly area,Other,2023-11-19,2023-11-19,Prince George's,2023-11-20,Incident Closed-Managed,
255,256,191748,"Why is the air smoky/ hazy in Westminster, Carroll County, today?","Air, Smoke",2023-11-16,2023-11-16,Carroll,2023-11-16,Incident Closed-Managed,
256,257,191747,West Coast Mushroom Farm in Rising Sun is creating severe noxious odors.,"Air, Odor",2023-11-15,2023-11-13,Cecil,,Referred to Outside Agency,21911
257,258,191746,Odor,Air,2023-11-16,2023-11-16,Anne Arundel,,Referred to WMA,21403
258,259,191741,Fumes from the mechanical shop nearby are coming into the complainant's office building.,Fumes,2023-11-13,,Harford,2023-11-30,Incident Closed-No Violation Observed,21017
259,260,191739,Odors from vapors entering his house.,Air,2023-11-13,2023-11-13,Anne Arundel,,Incident Not Applicable to MDE,21225
260,261,191738,Smoke and odor from burning leaves in front yard firepit.,Air,2023-11-14,2023-11-12,Anne Arundel,,Under Investigation,
261,262,191737,Smoke and odor from neighbor's operating large ceramic pottery kilns.,Air,2023-11-11,2023-11-11,Frederick,2023-11-14,Incident Closed-Managed,21701
262,263,191736,Dust and Smoke,"Fugitive Dust/Particulate Matter, Smoke",2023-11-07,2023-11-07,Washington,2024-03-19,Incident Closed-Managed,21740
263,264,191735,Smoke from burning leaves.  Close to her house.,Air,2023-11-08,2023-11-08,Anne Arundel,2023-11-14,Incident Closed - No further action,21122
264,265,191731,"Trashy, swampy odor.  Complainant mentioned composting facility located on Quarantine Road, 21226",Air,2023-11-13,2023-11-10,Anne Arundel,,Under Investigation,
265,266,191730,"Trashy, swampy odor",Air,2023-11-13,2023-11-10,Anne Arundel,,Under Investigation,
266,267,191729,"Trashy, swampy odor",Air,2023-11-10,2023-11-10,Anne Arundel,,Under Investigation,21060
267,268,191726,"Dust from sand blasting vehicles, over spray from spray painting, no control equipment.  Needs Permit for sand blasting operations.",Air,2023-11-10,2023-11-10,Frederick,,Referred to Attorney General's Office,
268,269,191720,concern of mold and mildew in the apartment,Other,2023-11-07,2023-11-07,Prince George's,2023-11-08,Incident Closed-Managed,20784
269,270,191718,Concern of paint fumes from next neighbor,Other,2023-11-03,2023-11-03,Prince George's,2023-12-08,Incident Closed-Managed,20746
270,271,191715,Neighbor is burning trash that contains plastic. Burning is occurring in a burn barrel behind their barn.,"Air, Open Burning",2023-11-06,2023-11-06,Carroll,,Referred to Outside Agency,21158
271,272,191713,Home owner had mold remediation in his home and there are residual chemical odors.,Odor,2023-11-03,,Baltimore,,Incident Not Applicable to MDE,
272,273,191712,Odors from animals in abandoned house in neighborhood.,Odor,2023-11-02,,Baltimore,,Referred to Outside Agency,
273,274,191711,Concern of strong industrial smell off Rt 50,Other,2023-11-03,2023-11-03,Prince George's,2023-11-05,Incident Closed-Managed,
274,275,191710,Concern of fly ash,Other,2023-10-30,2023-10-30,Prince George's,2023-11-03,Incident Closed-Managed,
275,276,191707,Seasonal farm offers 3-hour rental campfire spaces.  Neighbors called FCHD about the smoke from the campfires.  Neighbor stated that his air monitoring device indicated excessive levels.,Air,2023-11-02,2023-11-02,Frederick,2023-11-16,Incident Closed - No further action,21769
276,277,191706,Smoke from neighbor's fire pit.,Air,2023-11-03,2023-11-02,Anne Arundel,,Under Investigation,
277,278,191705,Indoor white dust particles inside her apartment.,Air,2023-11-03,2023-10-31,Charles,2023-11-03,Incident Closed - No further action,
278,279,191704,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-30,2023-10-30,Baltimore City,2023-11-02,Incident Closed-Managed,
279,280,191703,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-29,2023-10-29,Baltimore City,2023-11-02,Incident Closed-Managed,
280,281,191702,He smells an industrial odor in the residential neighborhood.,Odor,2023-11-28,2023-10-28,Baltimore City,2023-11-02,Incident Closed-Managed,
281,282,191700,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-27,2023-10-27,Baltimore City,2023-11-02,Incident Closed-Managed,
282,283,191699,Indoor Air Issue,Odor,2023-11-01,2023-11-01,Washington,2023-11-02,Incident Closed - No further action,21740
283,284,191697,Bees-Wings from Grain Dryer,Fugitive Dust/Particulate Matter,2023-10-26,2023-10-26,Washington,,Under Investigation,21742
284,285,191696,Bees-Wings from Grain Dryer,Fugitive Dust/Particulate Matter,2023-10-26,2023-10-26,Washington,,Under Investigation,21742
285,286,191693,Dust from sandblasting vehicles and overspray from spray paint.,Air,2023-11-01,2023-10-31,Frederick,,Referred to Attorney General's Office,
286,287,191692,Open burning smoke.  Complainant requests a letter to be sent to her neighbor.,Air,2023-10-31,2023-10-31,Anne Arundel,2023-11-14,Incident Closed - No further action,21144
287,288,191690,Indoor air issues of dust.  Would like samples collected.,Air,2023-11-01,2023-10-30,Anne Arundel,,Incident Not Applicable to MDE,
288,289,191689,Person from Georgia called MDE to report that Metro Sealant is selling non compliant solvents.,Air,2023-11-01,2023-10-26,Anne Arundel,,Under Investigation,
289,290,191686,"Odor from backriver wwtp on evening of 10/27, and several recent evenings","Air, Odor",2023-10-31,2023-10-27,Baltimore,2023-10-31,Incident Closed-Managed,21224
290,291,191684,there is a substance falling from a piece of equipment in a parking lot.,Other,2023-10-24,2023-10-24,Baltimore City,2023-10-31,Incident Closed-Managed,
291,292,191683,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-24,2023-10-24,Baltimore City,2023-10-31,Incident Closed-Managed,
292,293,191682,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-19,2023-10-19,Baltimore City,2023-10-31,Incident Closed-Managed,
293,294,191681,Calling to report FREON leak.,Air Pollutant Release,2023-10-16,2023-10-16,Baltimore City,2023-10-31,Incident Closed - No further action,
294,295,191680,"On May 6, 2023, the Complainant collect a sample strip of dust at the corner of Cypress St and Fairhaven Ave in Curtis Bay.  He analyzed the strip using a microscope and determined the dust to be coal from the CSX Coal Terminal.",Air,2023-10-11,2023-05-06,Baltimore City,2023-10-31,Incident Closed-Managed,21226
295,296,191677,Home is near CJ Miller Finksburg asphalt plant. Concerned with odor and emissions produced by the plant.,"Air, Fumes, Odor",2023-10-26,2023-10-26,Carroll,2023-10-30,Incident Closed-Managed,21048
296,297,191675,Overspray from neighbor spray painting a vehicle.,Air,2023-10-30,2023-10-30,Frederick,2023-10-30,Incident Closed - No further action,
297,298,191674,Smoke and odor from his neighbor's fire.,Air,2023-10-30,2023-10-28,Anne Arundel,2023-11-01,Incident Closed - No further action,21037
298,299,191671,Concern of strong odor in the Cheverly area.,Other,2023-10-24,2023-10-24,Prince George's,2023-10-27,Incident Closed-Managed,
299,300,191667,Dust from sandblasting of vehicles and overspray from spray paint.  Complainant's have submitted pictures and videos of dust.,Air,2023-10-26,2023-10-26,Frederick,,Clean-up Initiated,
300,301,191665,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-12,2023-10-12,Baltimore City,2023-10-25,Incident Closed-Managed,
301,302,191664,He smells an industrial odor in the residential neighborhood.,Odor,2023-10-05,2023-10-05,Baltimore City,2023-10-25,Incident Closed-Managed,
