,sno,complaint,complaint_description,complaint_type,recieved_date,incident_date,county,incident_closed_date,incident_status_desc,incident_zip
423,424,181304,He smells an industrial odor in the residential neighborhood.,Odor,2023-07-15,2023-07-15,Baltimore City,2023-07-25,Incident Closed-Managed,
424,425,181303,That a BGE contractor left behind excessive fugitive dust in front of her home.,Fugitive Dust/Particulate Matter,2023-07-13,2023-07-13,Baltimore City,2023-07-25,Incident Closed-Managed,
425,426,181302,He smells an industrial odor in the residential neighborhood.,Odor,2023-07-09,2023-07-09,Baltimore City,2023-07-25,Incident Closed-Managed,
426,427,181301,He smells an industrial odor in the residential neighborhood.,Odor,2023-07-07,2023-07-07,Baltimore City,2023-07-25,Incident Closed-Managed,
427,428,181300,He smells an industrial odor in the residential neighborhood.,Odor,2023-07-06,2023-07-06,Baltimore City,2023-07-25,Incident Closed-Managed,
428,429,181297,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-26,2023-06-26,Baltimore City,2023-07-25,Incident Closed-Managed,
429,430,181296,He wants someone to test indoor air quality.,Air,2023-06-24,2023-06-24,Baltimore City,2023-07-25,Incident Closed - No further action,
430,431,181295,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-22,2023-06-22,Baltimore City,2023-07-25,Incident Closed-Managed,
431,432,181294,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-16,2023-06-16,Baltimore City,2023-07-25,Incident Closed-Managed,
432,433,181293,He smells an industrial odor in the residential neighborhood.,Odor,2023-07-12,2023-06-12,Baltimore City,2023-07-25,Incident Closed-Managed,
433,434,181292,"Power washed her home, now concerned about silica dust that was created.",Fugitive Dust/Particulate Matter,2023-06-06,2023-06-06,Baltimore City,2023-07-25,Incident Closed - No further action,
434,435,181291,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-05,2023-06-05,Baltimore City,2023-07-25,Incident Closed-Managed,
435,436,181290,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-02,2023-06-02,Baltimore City,2023-07-25,Incident Closed-Managed,
436,437,181289,Smoke from neighbor burning,Smoke,2023-07-24,,Harford,2023-07-31,Incident Closed-Managed,
437,438,181284,Severe overspray coming from exhaust of Airpark Auto Center vehicle paint spray booth.,Air,2023-07-17,2022-11-30,Montgomery,,Under Investigation,20879
438,439,181283,Air quality concerns regarding Purple Line construction.,"Air, Fugitive Dust/Particulate Matter, Odor",2023-07-14,2023-07-14,Montgomery,,Referred to Outside Agency,
439,440,181278,Burning on Pavement,"Odor, Open Burning, Smoke",2023-07-11,2023-07-10,Allegany,2023-07-21,Incident Closed-Managed,21501
440,441,171278,Dust from Grable's Commercial sandblasting & spray painting.,Air,2023-07-20,2023-07-20,Frederick,,Under Investigation,
441,442,171263,Burning Plastics,"Odor, Open Burning, Smoke",2023-07-06,2023-06-28,Garrett,2024-01-31,Incident Closed - No further action,21550
442,443,171261,BurningTires,"Odor, Open Burning, Smoke",2023-07-06,2023-06-16,Garrett,2024-01-31,Incident Closed - No further action,21531
443,444,171257,Dust from sandblasting and overspray of commercial vehicles and parts.,Air,2023-07-17,2023-07-17,Frederick,,Under Investigation,21757
444,445,171251,Formaldehyde type of odor in new apartment.  Would like indoor air test.  The County was not provided in original message.,Air,2023-07-13,2023-07-13,Prince George's,2023-07-13,Incident Closed-No Violation Observed,
445,446,171247,Smoke and odor from open burning,Open Burning,2023-07-03,2023-07-03,Wicomico,2023-07-06,Incident Closed-No Violation Observed,21804
446,447,171235,concern of odor from American Paving Fabrics,Other,2023-07-06,2023-07-06,Howard,2023-07-10,Incident Closed-Managed,
447,448,171234,Smoke from neighbor's firepit smoldering.,Air,2023-07-10,2023-07-06,Anne Arundel,2023-07-17,Incident Closed-Managed,21054
448,449,171233,Smoke from burning furniture in their yard.,Air,2023-07-10,2023-07-05,Anne Arundel,2023-07-17,Incident Closed-Managed,21122
449,450,171232,Odor from dumpster at building construction site.,Air,2023-07-10,2023-07-03,Anne Arundel,2023-07-14,Incident Closed-Clean-up Completed,21401
450,451,171231,Spray painting without a spray booth.  FY23-275851-3714-CV,Air,2023-07-10,2023-07-06,Frederick,2023-07-14,Incident Closed-No Violation Observed,21770
451,452,171223,Concern of Freon/Ac,Other,2023-07-05,2023-07-05,Prince George's,2023-07-07,Incident Closed-Managed,
452,453,171218,Inquiry of air quality forecast,Other,2023-06-29,2023-06-29,Howard,2023-07-05,Incident Closed-Managed,
453,454,171217,concern of Freon /AC,Other,2023-06-28,2023-06-28,Prince George's,2023-07-05,Incident Closed-Managed,
454,455,171212,Haze and air quality index high. Canadian wildfires.,Air,2023-06-30,2023-06-29,Anne Arundel,2023-06-30,Incident Closed - No further action,
455,456,171211,Concern over the fire department's house burn for training.,Smoke,2023-06-29,,Harford,2023-06-30,Incident Closed - No further action,
456,457,171210,Severe odors occurring from liquid manure/ sludge application at agricultural field in Westminster.,"Air, Odor",2023-06-29,2023-06-29,Carroll,,Referred to Outside Agency,21158
457,458,171206,Indoor air of complainant's apartment has odors.,Odor,2023-06-27,,Baltimore,,Incident Not Applicable to MDE,
458,459,171205,Concerned with general poor ambient air quality in Maryland and would like to know what actions are being taken to improve air quality.,Air,2023-06-28,2023-06-28,Statewide,2023-06-29,Incident Closed-Managed,
459,460,171195,"Concerns regarding unknown indoor environmental factors inside home causing sores and ""electric"" feeling.",Air,2023-06-28,2023-06-28,Baltimore,2023-06-28,Incident Closed - No further action,
460,461,171188,Fumes from racetrack,Fumes,2023-06-26,,Harford,2023-06-29,Incident Closed-Managed,
461,462,171187,100% opacity of black smoke from crematory stack.  Video submitted.,Air,2023-06-27,2023-06-27,Charles,,Under Investigation,
462,463,171180,Automobile shop operating without machine.,Other,2023-06-26,2023-06-26,Not Yet Determined,2023-07-07,Incident Closed-Managed,
463,464,171155,Dust from sandblasting of commercial vehicles.,Air,2023-06-23,2023-06-23,Frederick,,Under Investigation,
464,465,161146,Dust and straw from county stabilization project.,Fugitive Dust/Particulate Matter,2023-06-21,,Baltimore,2023-06-21,Incident Closed - No further action,
465,466,161144,Dust from sandblasting vehicles.,Air,2023-06-21,2023-06-20,Frederick,,Under Investigation,
466,467,161143,Dust from sand blasting.  Video submitted,Air,2023-06-21,2023-06-19,Frederick,,Under Investigation,
467,468,161141,Odors from WWTP,Odor,2023-06-20,2023-06-15,Washington,,Referred to WMA,21782
468,469,161135,Complainant believes that York Building Products Principio Quarry is responsible for sand and dust concerns at Chesapeake House Travel Plaza.,"Air, Fugitive Dust/Particulate Matter",2023-06-06,2023-05-22,Cecil,2023-06-15,Incident Closed-Managed,21904
469,470,161134,"Degreaser overspray and oil dumped onto land from the Fleet Maintenance Brothers business.  Business is a junkyard for vehicles & vehicle & tractor trailer repairs. 
 Complainant lives next door.  Complainant would like to know if degreasers are more hazardous than  ETO's as discussed in their community meeting.",Air,2023-06-15,2023-06-13,Anne Arundel,2023-06-16,Incident Closed-Managed,20794
470,471,161132,Neighboring property is an illegal salvage yard. Consistent open burning of materials is occurring at this site. Cecil County government is not addressing the concerns.,Open Burning,2023-06-12,2023-06-12,Cecil,,Referred to Outside Agency,21921
471,472,161130,Dust from Chesapeake Monuments,Fugitive Dust/Particulate Matter,2023-06-14,,Baltimore,2023-06-23,Incident Closed-No Violation Observed,
472,473,161125,Dust from company making monuments.,Fugitive Dust/Particulate Matter,2023-06-14,,Baltimore,2023-06-23,Incident Closed-No Violation Observed,
473,474,161116,"Neighbors are open burning in a fire pit, also have outside grill.",Open Burning,2023-06-05,2023-06-05,Carroll,,Referred to Outside Agency,21771
474,475,161115,Dust from sandblasting at Grable's Commercial Sandblasting & Spray painting business crossing property line  to neighbor's house and vehicle.,Air,2023-06-12,2023-06-12,Frederick,,Under Investigation,
475,476,161112,Concern of fumes from a commercial building painting cars,Other,2023-06-07,2023-06-07,Howard,2023-08-07,Incident Closed-Managed,
476,477,161111,concern of sticky substance falling from the sky.,Other,2023-06-06,2023-06-06,Howard,2023-06-12,Incident Closed-Managed,
477,478,161106,Dust on Road,Fugitive Dust/Particulate Matter,2023-06-02,2023-06-02,Allegany,2024-01-31,Incident Closed - No further action,
478,479,161105,Neighboring farm is spreading manure.,Odor,2023-06-09,,Harford,,Referred to Outside Agency,
479,480,161104,Employees standing outside in bad air quality.,Air,2023-06-08,,Harford,2023-06-09,Incident Closed-Managed,
480,481,161102,"Open burning of trees, building materials/refuse.",Open Burning,2023-06-06,2023-06-06,Wicomico,2023-06-06,Incident Closed-No Violation Observed,21801
481,482,161102,"Open burning of trees, building materials/refuse.",Open Burning,2023-06-06,2023-06-06,Wicomico,2023-06-06,Incident Closed-No Violation Observed,21822
482,483,161101,Paint chips on property from prepping water tower to be painted.,Fugitive Dust/Particulate Matter,2023-06-07,2023-06-07,Dorchester,2023-06-08,Incident Closed-Managed,21664
483,484,161093,Dust from sand blasting and overspray from spray painting.  Dust crosses property line.,Air,2023-06-08,2023-06-07,Frederick,,Under Investigation,
484,485,161092,Sticky substance on her car windshield.,Air,2023-06-08,2023-06-05,Frederick,2023-06-08,Incident Closed - No further action,
485,486,161089,Dust At Concrete Plant,Fugitive Dust/Particulate Matter,2023-05-19,2023-05-10,Washington,2024-03-19,Incident Closed-No Violation Observed,21740
486,487,161086,Garbage in Stream,Non-Tidal Wetlands/Waterway,2023-05-17,2023-05-17,Allegany,2023-06-08,Incident Closed - No further action,21539
487,488,161081,He smells an industrial odor in the residential neighborhood.,Odor,2023-06-01,2023-06-01,Baltimore City,2023-06-07,Incident Closed-Managed,
488,489,161080,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-31,2023-05-31,Baltimore City,2023-06-07,Incident Closed-Managed,
489,490,161079,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-29,2023-05-29,Baltimore City,2023-06-07,Incident Closed-Managed,
490,491,161078,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-28,2023-05-28,Baltimore City,2023-06-07,Incident Closed-Managed,
491,492,161077,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-27,2023-05-27,Baltimore City,2023-06-07,Incident Closed-Managed,
492,493,161076,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-24,2023-05-24,Baltimore City,2023-06-07,Incident Closed-Managed,
493,494,161075,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-19,2023-05-19,Baltimore City,2023-06-07,Incident Closed-Managed,
494,495,161074,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-18,2023-05-18,Baltimore City,2023-06-07,Incident Closed-Managed,
495,496,161073,Dust created by power washing.,Fugitive Dust/Particulate Matter,2023-05-17,2023-05-17,Baltimore City,2023-06-07,Incident Closed-Managed,
496,497,161072,Street covered in white substance.,Fugitive Dust/Particulate Matter,2023-05-16,2023-05-16,Baltimore City,2023-06-07,Incident Closed-Managed,
497,498,161071,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-10,2023-05-10,Baltimore City,2023-06-07,Incident Closed-Managed,
498,499,161070,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-09,2023-05-09,Baltimore City,2023-06-07,Incident Closed-Managed,
499,500,161069,Company is running illegal landfill.,Illegal Dumping,2022-06-02,2022-06-02,Calvert,2023-06-07,Incident Closed-Managed,
500,501,161065,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-08,2023-05-08,Baltimore City,2023-06-06,Incident Closed-Managed,
501,502,161064,Concern of odor and emission from asphalt,Other,2023-06-05,2023-06-05,Howard,2023-06-06,Incident Closed-Managed,
502,503,161063,Construction dust affecting apartment resident,Other,2023-06-01,2023-06-01,Prince George's,2023-06-06,Incident Closed-Managed,
503,504,161062,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-07,2023-05-07,Baltimore City,2023-06-06,Incident Closed-Managed,
504,505,161061,Concern of odor from asphalt plant,Other,2023-06-01,2023-06-01,Howard,2023-06-06,Incident Closed-Managed,21075
505,506,161060,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-06,2023-05-06,Baltimore City,2023-06-06,Incident Closed-Managed,
506,507,161059,concern of odor and emission from asphalt plant,Other,2023-05-31,2023-05-31,Howard,2023-06-06,Incident Closed-Managed,21075
507,508,161058,concern of odor and emissions from asphalt plant,Other,2023-05-23,2023-05-23,Howard,2023-06-06,Incident Closed-Managed,21075
508,509,161057,He smells an industrial odor in the residential neighborhood.,Odor,2023-05-05,2023-05-05,Baltimore City,2023-06-06,Incident Closed-Managed,
509,510,161055,Dust from sandblasting vehicles and vehicle parts.  Overspray from spray painting.,Air,2023-06-06,2023-06-03,Anne Arundel,,Under Investigation,
510,511,161054,Dust from demolition of building,Air,2023-06-06,2023-06-02,Anne Arundel,2023-10-27,Incident Closed-No Violation Observed,
511,512,161042,Dust from sand blasting vehicles and overspray from spray painting,Air,2023-06-02,2023-06-02,Frederick,,Under Investigation,
512,513,161041,Dust from sand blasting vehicles and overspray from spray painting.,Air,2023-06-02,2023-05-31,Frederick,,Under Investigation,
513,514,161040,Dust from sand blasting vehicles & overspray from spray painting.,Air,2023-06-02,2023-05-26,Frederick,,Under Investigation,
514,515,161035,Smoke from burning leaves at her neighbor's house.,Air,2023-06-02,2023-06-01,Anne Arundel,,Under Investigation,
515,516,161034,Inquiry about open burning and fire pits.,Air,2023-06-02,2023-05-31,Anne Arundel,2023-06-02,Incident Closed - No further action,
516,517,161033,Complainant detected a chemical odor in the air near her residence.,Air,2023-06-02,2023-05-31,Anne Arundel,2023-06-02,Incident Closed-No Violation Observed,21113
517,518,161032,Dust from neighbor cutting stones for a patio or sidewalk.,Air,2023-06-02,2023-05-30,Anne Arundel,2023-06-02,Incident Closed - No further action,
518,519,161031,Dust from constructing baseball fields at GORC park which is located adjacent to the Complainant's house.  Trees in between properties.,Air,2023-06-02,2023-05-26,Anne Arundel,2023-06-12,Incident Closed-No Violation Observed,21113
519,520,161030,Question re open burning,Other,2023-06-01,,St. Mary's,2023-06-02,Incident Closed - No further action,
520,521,161027,Neighbor is having siding installed. Construction company is cutting PVC components without dust suppression. Causing fugitive dust issues.,"Air, Fugitive Dust/Particulate Matter",2023-05-31,2023-05-31,Montgomery,,Referred to Outside Agency,20912
521,522,161012,Concerned with fumes from roof tarring and other construction activity and the health effects on students.,"Air, Fumes, Odor",2023-05-25,2023-05-25,Montgomery,2023-09-21,Incident Closed-Managed,20853
522,523,161012,Concerned with fumes from roof tarring and other construction activity and the health effects on students.,"Air, Fumes, Odor",2023-05-25,2023-05-25,Montgomery,2023-09-21,Incident Closed-Managed,20837
523,524,161008,Requested info for Balto co burn permit,Other,2023-05-25,,Baltimore,2023-05-26,Incident Closed - No further action,
524,525,161002,Dust from sandblasting vehicles and vehicle parts.  No dust control measures.  Dust exits concrete building to outside and crosses property.,Air,2023-05-24,2023-05-24,Frederick,,Under Investigation,
525,526,161000,"Smoke, odors and fumes from restaurant outdoor smokers.","Fumes, Odor, Smoke",2023-05-23,2023-05-23,Wicomico,2023-05-24,Incident Closed-Managed,21801
526,527,160992,Horrendous odor in area around facility.,Odor,2023-05-22,2023-05-13,Baltimore,2023-05-22,Incident Closed - No further action,21222
527,528,160990,"Concerned that seals in place throughout inside of school are not properly installed, leading to infiltration of roof tar odors inside Poolesville High School.","Air, Fumes, Odor",2023-05-19,2023-05-19,Montgomery,2023-09-21,Incident Closed-Managed,20837
528,529,160989,Health concerns regarding roofing tar used at Poolesville High School and Parkland Middle School.,"Air, Fumes, Odor",2023-05-19,2023-05-19,Montgomery,2023-09-21,Incident Closed-Managed,20853
529,530,160989,Health concerns regarding roofing tar used at Poolesville High School and Parkland Middle School.,"Air, Fumes, Odor",2023-05-19,2023-05-19,Montgomery,2023-09-21,Incident Closed-Managed,20837
530,531,160986,Airplane is spraying chemicals on neighboring farm.,Fumes,2023-05-18,,Baltimore,,Referred to Outside Agency,
531,532,160982,Dust from land excavation.  Construction site for a new building.  Dust blowing onto to residence property.,Air,2023-05-19,2023-05-18,Frederick,2023-11-17,Incident Closed - No further action,
532,533,160982,Dust from land excavation.  Construction site for a new building.  Dust blowing onto to residence property.,Air,2023-05-19,2023-05-18,Frederick,2023-11-17,Incident Closed - No further action,
533,534,160981,Burning green wood in backyard firepit and creating smoke.,Air,2023-05-19,2023-05-17,Anne Arundel,2023-05-19,Incident Closed - No further action,
534,535,150983,Health concerns related to construction activity at Poolesville High School and Parkland Magnet Middle School.,"Air, Fumes, Odor",2023-05-16,2023-05-16,Montgomery,2023-09-21,Incident Closed-Managed,20853
535,536,150983,Health concerns related to construction activity at Poolesville High School and Parkland Magnet Middle School.,"Air, Fumes, Odor",2023-05-16,2023-05-16,Montgomery,2023-09-21,Incident Closed-Managed,20837
536,537,150982,Health concerns related to roofing tar exposure at Parkland Magnet Middle School.,"Air, Fumes, Odor",2023-05-16,2023-05-16,Montgomery,2023-09-21,Incident Closed-Managed,20853
537,538,150981,Automotive business painting cars in tent behind building. EPA referral.,Air,2023-05-09,2023-05-09,Montgomery,2023-05-18,Incident Closed-Managed,20879
538,539,150978,Odor Complaint,Odor,2023-05-04,2023-05-04,Dorchester,2023-05-04,Incident Closed - No further action,21835
539,540,150977,Fumes from the generator next door.,Fumes,2023-05-16,,Baltimore,2023-05-17,Incident Closed-Managed,
540,541,150965,"Continued concerns regarding construction activity at Poolesville High School. Concerns include roof tarring, fireproofing, and acoustic foam installation.","Air, Fumes, Odor",2023-05-15,2023-05-15,Montgomery,2023-09-21,Incident Closed-Managed,20837
541,542,150964,Apt building next door's generator is creating fumes.,Fumes,2023-05-15,,Baltimore,2023-05-17,Incident Closed-Managed,
542,543,150963,Neighbor's dog and cat feces,Odor,2023-05-15,,Baltimore,,Referred to Outside Agency,
543,544,150958,Neighbor's van leaks motor oil on the parking lot in their townhouse neighborhood.,Air,2023-05-15,2023-05-12,Frederick,2023-05-15,Incident Closed - No further action,
544,545,150957,Dust from sand blasting and spray painting,Air,2023-05-15,2023-05-09,Frederick,,Under Investigation,
545,546,150956,Smoke from burning leaves at neighbor's yard.,Air,2023-05-15,2023-05-08,Anne Arundel,2023-05-15,Incident Closed-No Violation Observed,
546,547,150951,Smoke observed at Aberdeen Proving Ground.,Smoke,2023-05-12,2023-03-09,Harford,2023-05-12,Incident Closed - No further action,
547,548,150950,Smoke observed at Aberdeen Proving Ground.,Smoke,2023-05-12,2023-03-09,Harford,2023-05-12,Incident Closed - No further action,
548,549,150949,Smoke observed at Aberdeen Proving Ground.,Smoke,2023-05-12,2023-03-09,Harford,2023-05-12,Incident Closed - No further action,
549,550,150947,Poolesville High School construction project concerns. Including roof tar and indoor air quality.,"Air, Fumes, Odor",2023-05-11,2023-05-11,Montgomery,2023-09-21,Incident Closed-Managed,20837
550,551,150946,Battery acid or sulfates being sprayed in the air system at Walmart.,Air,2023-05-12,2023-05-11,Charles,2023-06-14,Incident Closed-No Violation Observed,20601
551,552,150945,Poolesville High School parent concerned with roof tarring and application of fireproofing material at the school.,"Air, Fumes, Odor",2023-05-07,2023-05-07,Montgomery,2023-09-21,Incident Closed-Managed,20837
552,553,150941,Odor Complaint,Odor,2023-04-07,2023-04-07,Howard,2023-04-07,Incident Closed - No further action,20723
553,554,150938,"Wolff Tree & Landscape, LLC may have tub grinders on-site used for wood processing.","Air, Other",2023-04-20,2023-04-20,Carroll,,Referred to Outside Agency,21776-811
554,555,150932,Bus Idling at elementary school,Other,2023-05-08,2023-05-08,Prince George's,2023-05-10,Incident Closed-Managed,
555,556,150931,Indoor air quality,Other,2023-05-03,2023-05-03,Prince George's,2023-06-14,Incident Closed-Managed,
556,557,150930,A business is sand blasting containers and painting them outside.,Fugitive Dust/Particulate Matter,2023-04-20,2023-04-20,Baltimore City,2023-05-09,Incident Closed-Managed,
557,558,150929,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-26,2023-04-26,Baltimore City,2023-05-09,Incident Closed-Managed,
558,559,150928,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-23,2023-04-23,Baltimore City,2023-05-09,Incident Closed-Managed,
559,560,150927,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-22,2023-04-22,Baltimore City,2023-05-09,Incident Closed-Managed,
560,561,150926,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-21,2023-04-21,Baltimore City,2023-05-09,Incident Closed-Managed,
561,562,150925,Video submitted via cell phone of dust created from the facility.,Air,2023-05-09,2023-05-09,Frederick,,Under Investigation,
562,563,150916,Seafood odor from storage of fish & shellfish at the homeowner's house.,Air,2023-05-08,2023-05-04,Anne Arundel,2023-05-08,Incident Closed-No Violation Observed,
563,564,150915,Odor from smoke,Air,2023-05-08,2023-05-04,Anne Arundel,2023-05-19,Incident Closed - No further action,
564,565,150914,Odor from dirty radiator coils inside apartment.,Air,2023-05-08,2023-05-03,Anne Arundel,2023-05-19,Incident Closed - No further action,
565,566,150902,Fire being fed by backhoe.,Open Burning,2023-05-03,2023-05-03,Somerset,2023-05-03,Incident Closed-No Violation Observed,21853
566,567,150896,Odor,Odor,2023-05-02,,Baltimore,2023-05-08,Incident Closed-No Violation Observed,21093
567,568,150894,Concerns regarding indoor air quality after replacing HVAC in home.,"Air, Other",2023-05-01,2023-05-01,Cecil,2023-05-02,Incident Closed - No further action,
568,569,150891,Noise and vibrations being created by neighbors. Cecil County Sheriff referral to MDE.,Other,2023-04-28,2023-04-28,Cecil,,Referred to Outside Agency,21901
569,570,150887,Cat urine odor from townhouse,Air,2023-05-01,2023-04-28,Anne Arundel,2023-05-05,Incident Closed - No further action,
570,571,150886,Smoke from burning trash,Air,2023-05-01,2023-04-26,Anne Arundel,,Under Investigation,
571,572,150867,Laundry company is emitting lint from its dryer vents.,Other,2023-04-27,,Baltimore,2023-04-27,Incident Closed-Managed,
572,573,150864,DPS Automotive is creating dust from work being performed. Concerned that facility is not permitted and painting vehicle parts.,"Air, Fugitive Dust/Particulate Matter",2023-04-20,2023-04-20,Montgomery,2023-04-27,Incident Closed-Managed,20852
573,574,150854,Smoke from open burning at nights and on weekends.,"Open Burning, Smoke",2023-04-19,2023-04-19,Worcester,2023-05-02,Incident Closed-No Violation Observed,21851
574,575,150854,Smoke from open burning at nights and on weekends.,"Open Burning, Smoke",2023-04-19,2023-04-19,Worcester,2023-05-02,Incident Closed-No Violation Observed,21851
575,576,150854,Smoke from open burning at nights and on weekends.,"Open Burning, Smoke",2023-04-19,2023-04-19,Worcester,2023-05-02,Incident Closed-No Violation Observed,21851
576,577,150854,Smoke from open burning at nights and on weekends.,"Open Burning, Smoke",2023-04-19,2023-04-19,Worcester,2023-05-02,Incident Closed-No Violation Observed,21851
577,578,150854,Smoke from open burning at nights and on weekends.,"Open Burning, Smoke",2023-04-19,2023-04-19,Worcester,2023-05-02,Incident Closed-No Violation Observed,21851
578,579,150848,Burning,Open Burning,2023-04-23,,Harford,2023-04-28,Incident Closed-Managed,
579,580,150843,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-16,2023-04-16,Baltimore City,2023-04-21,Incident Closed-Managed,
580,581,150842,He smells an industrial odor in the residential neighborhood.,Odor,2023-04-03,2023-04-03,Baltimore City,2023-04-21,Incident Closed-Managed,
581,582,150841,He smells an industrial odor in the residential neighborhood.,Odor,2023-03-29,2023-03-29,Baltimore City,2023-04-21,Incident Closed-Managed,
582,583,150840,He smells an industrial odor in the residential neighborhood.,Odor,2023-03-27,2023-03-27,Baltimore City,2023-04-21,Incident Closed-Managed,
583,584,150839,He smells an industrial odor in the residential neighborhood.,Odor,2023-03-26,2023-03-26,Baltimore City,2023-04-21,Incident Closed-Managed,
584,585,150837,He smells an industrial odor in the residential neighborhood.,Odor,2023-03-25,2023-03-25,Baltimore City,2023-04-21,Incident Closed-Managed,
585,586,140835,No dust suppression,Fugitive Dust/Particulate Matter,2023-04-19,,Baltimore,2023-04-24,Incident Closed - No further action,
586,587,140834,Smoke from burning hazardous waste at the marina.  Complainant stated she spoke to someone last week and they were going to send someone out.,Air,2023-04-20,2023-04-20,Anne Arundel,,Under Investigation,
587,588,140830,Concern of dust from Sudbury Marble and Granite,Other,2023-03-08,2023-03-08,Prince George's,2023-04-19,Incident Closed-Managed,
588,589,140829,Concern of dust and water pollution from Sudbury Marble and Granite,Other,2023-03-08,2023-03-08,Prince George's,2023-04-19,Incident Closed-Managed,20740
589,590,140827,Concern of burning tires in the Cheverly area,Other,2023-04-12,2023-04-12,Prince George's,2023-04-19,Incident Closed-Managed,
590,591,140826,Dust from sand blasting & spray painting commercial vehicles.  Picture received.,Air,2023-04-19,2023-04-19,Frederick,,Under Investigation,
591,592,140816,Picture & video of dust from sand blasting and going onto next property.,Air,2023-04-17,2023-04-17,Frederick,,Under Investigation,
592,593,140809,Metallic odor detected in the middle of the night.,Odor,2023-04-14,,Baltimore,2023-04-14,Incident Closed - No further action,
593,594,140797,Concern of Loud boom noise,Other,2023-04-09,2023-04-09,Prince George's,2023-04-12,Incident Closed-Managed,
594,595,140796,Concern of loud boom noise in Cheverly area,Other,2023-04-09,2023-04-09,Prince George's,2023-04-12,Incident Closed-Managed,
595,596,140795,Concern of awful smell in Cheverly area,Other,2023-04-10,2023-04-10,Prince George's,2023-04-12,Incident Closed-Managed,
596,597,140792,Concern of mold in school,Other,2023-04-12,2023-04-04,Prince George's,2023-04-12,Incident Closed-Managed,
597,598,140791,Odor concern in Cheverly area,Other,2023-04-04,2023-04-04,Prince George's,2023-04-12,Incident Closed-Managed,
598,599,140782,Concerns related to odors and other issues related to roofing project at Poolesville High School.,"Air, Fumes, Odor",2023-04-10,2023-04-10,Montgomery,,Referred to Outside Agency,20837
599,600,140781,Severe roofing tar odors infiltrating Poolesville High School due to continued roof construction.,"Air, Fumes, Odor",2023-03-30,2023-03-30,Montgomery,,Referred to Outside Agency,20837
600,601,140780,Office building across from condominium complex has approval from Montgomery County to be retrofitted to become life science labs. Concerned with potential chemical exhaust from labs.,"Air, Fumes, Other",2023-03-30,2023-03-30,Montgomery,,Referred to Outside Agency,20847
601,602,140778,Odor from spray that was applied to millings in a parking lot.,Air,2023-04-10,2023-04-10,Frederick,2023-04-10,Incident Closed - No further action,21757
602,603,140777,"Neighbor is continuously burning trash, plastics, chemicals, etc.","Fumes, Open Burning, Smoke",2023-03-31,2023-03-31,Cecil,,Referred to Outside Agency,21919
603,604,140776,Complaint received via email from the Cecil County Health Department. Illegal scrapyard is constantly open burning waste materials.,"Open Burning, Smoke",2023-03-31,2023-03-31,Cecil,,Referred to Outside Agency,21921
604,605,140775,Water main on the street was replaced. Replacement caused dust. Also there are storm water runoff concerns.,Fugitive Dust/Particulate Matter,2023-04-05,2023-04-05,Cecil,2023-04-07,Incident Closed - No further action,
605,606,140774,Neighbors are continuously open burning causing nuisance smoke.,"Open Burning, Smoke",2023-04-05,2023-04-05,Cecil,,Referred to Outside Agency,21919
606,607,140773,Neighbor burning and creating smoke,Smoke,2023-04-05,,St. Mary's,2023-04-07,Incident Closed-Managed,
607,608,140772,Neighbor is burning and creating smoke.,Smoke,2023-04-03,,St. Mary's,2023-04-07,Incident Closed-Managed,
608,609,140771,Neighbor is creating smoke and odor inside their home. The smoke and odor is infiltrating the complainant's townhome.,"Air, Odor, Smoke",2023-04-06,2023-04-06,Montgomery,,Referred to Outside Agency,
609,610,140769,"Black smoke, can't walk outside.",Smoke,2023-04-05,2023-04-05,Wicomico,2023-04-06,Incident Closed - No further action,21849
610,611,140768,Smoke and Odors from Burning Construction Scraps,"Fumes, Smoke",2023-04-05,2023-04-05,Garrett,2023-05-26,Incident Closed-Managed,21536
611,612,140767,Possible Asbestos,Asbestos Complaint,2023-03-21,2023-03-21,Allegany,,Referred to ARA,21501
612,613,140766,Possible Endangered Species,Other,2023-03-17,2023-03-17,Allegany,2023-04-06,Incident Closed - No further action,
613,614,140765,Possible Asbestos in Home,Asbestos Complaint,2023-03-10,2023-03-10,Allegany,,Referred to ARA,
